"sep=,"
sn,serial,ct,modelo,observaciones,disponible
99,5CG1038D8N,WHGREOBRLEMWUX,"portatil HP",,SI
100,5CG1038TZH,WHGREOBRLEMWZS,"portatil HP",,SI
101,5CG1038STY,WHGREOBRLEMWKO,"portatil HP",,SI
102,5CG1038RSO,WHGREOBRLEMWDJ,"portatil HP",,SI
103,5CG1038VRG,WHGREOBRLEMWOR,"portatil HP",,SI
104,5CG1038WCS,WHGREOBRLEMWCM,"portatil HP",,SI
105,5CG1038XBK,WHGREOBRLEMW6S,"portatil HP",,SI
106,5CG1038RRT,WHGREOBRLEMWJ9,"portatil HP",,SI
107,5CG1038TGH,WHGREOBRLEMWO7,"portatil HP",,SI
108,5CG1038VXQ,WHGREOBRLEMW4G,"portatil HP",,SI
109,5CG1038XL8,WHHREOA4LEJ6CP,"portatil HP",,SI
110,5CG1038SON,WHGREOBRLEMWIO,"portatil HP",,SI
111,5CG1038P37,WHGREOBZKELX5F,"portatil HP",,SI
112,5CG1038XKC,WHHREOA5REJFS2,"portatil HP",,SI
113,5CG1039084,WHGREOBRLEMWKO,"portatil HP",,SI
114,5CG1038R43,WHGREOBRLEMWAK,"portatil HP",,SI
115,5CG1038QQR,WHGREOBRLEMWV1,"portatil HP",,SI
116,5CG1038DVC,WHHREOA4LEJ6DU,"portatil HP",,SI
117,5CG1038SOM,WHGREOBRLEMWYI,"portatil HP",,SI
118,5CG1038STT,WHGREOBRLEMWB3,"portatil HP",,SI
119,5CG1038TB9,WHGREOBRLEMWOA,"portatil HP",,SI
120,5CG1038YMS,WHGREOBRLEMW7B,"portatil HP",,SI
121,5CG1038V37,WHGREOBRLEMWE5,"portatil HP",,SI
122,5CG1039089,WHHREOA4LEJ615,"portatil HP",,SI
123,5CG1038PPT,WHGREOBRLEMWF1,"portatil HP",,SI
124,5CG1038PV1,WHGREOBRLEMWSG,"portatil HP",,SI
125,5CG1038TOF,WHGREOBRLEMWYF,"portatil HP",,SI
126,5CG10390J6,WHGREOBRLEMW4K,"portatil HP",,SI
127,5CG1038V3G,WHGREOBRLEMWYJ,"portatil HP",,SI
